Top-level,Aggregate,Mid-level,Low-level,Disaggregate,Attribute,Unit,Value
All food,Food at home,Fats and oils,,,Relative importance,Percent,1.6
All food,Food at home,Fats and oils,,,Month-to-month July 2026 to August 2026,Percent change,1.4
All food,Food at home,Fats and oils,,,Year-over-year August 2025 to August 2026,Percent change,-0.3
All food,Food at home,Fats and oils,,,Year-to-date avg. 2026 to avg. 2025,Percent change,-1.1
All food,Food at home,Fats and oils,,,Annual 2024,Percent change,2.4
All food,Food at home,Fats and oils,,,Annual 2025,Percent change,-0.8
All food,Food at home,Fats and oils,,,20-year historical average,Percent change,3.3
All food,Food at home,Fats and oils,,,Lower bound of forecast interval 2026,Percent change,-1.7
All food,Food at home,Fats and oils,,,Midpoint of forecast interval 2026,Percent change,-0.8
All food,Food at home,Fats and oils,,,Upper bound of forecast interval 2026,Percent change,0.2
All food,Food at home,Fats and oils,,,Lower bound of forecast interval 2027,Percent change,-9.8
All food,Food at home,Fats and oils,,,Midpoint of forecast interval 2027,Percent change,3.4
All food,Food at home,Fats and oils,,,Upper bound of forecast interval 2027,Percent change,19
All food,Food at home,Fruits and vegetables,,,Relative importance,Percent,9.5
All food,Food at home,Fruits and vegetables,,,Month-to-month July 2026 to August 2026,Percent change,-0.6
All food,Food at home,Fruits and vegetables,,,Year-over-year August 2025 to August 2026,Percent change,3.2
All food,Food at home,Fruits and vegetables,,,Year-to-date avg. 2026 to avg. 2025,Percent change,3.7
All food,Food at home,Fruits and vegetables,,,Annual 2024,Percent change,0.7
All food,Food at home,Fruits and vegetables,,,Annual 2025,Percent change,0.3
All food,Food at home,Fruits and vegetables,,,20-year historical average,Percent change,2
All food,Food at home,Fruits and vegetables,,,Lower bound of forecast interval 2026,Percent change,3
All food,Food at home,Fruits and vegetables,,,Midpoint of forecast interval 2026,Percent change,3.9
All food,Food at home,Fruits and vegetables,,,Upper bound of forecast interval 2026,Percent change,4.7
All food,Food at home,Fruits and vegetables,,,Lower bound of forecast interval 2027,Percent change,-4.1
All food,Food at home,Fruits and vegetables,,,Midpoint of forecast interval 2027,Percent change,1.2
All food,Food at home,Fruits and vegetables,,,Upper bound of forecast interval 2027,Percent change,7
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,,Relative importance,Percent,7.5
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,,Month-to-month July 2026 to August 2026,Percent change,-0.6
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,,Year-over-year August 2025 to August 2026,Percent change,3.1
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,,Year-to-date avg. 2026 to avg. 2025,Percent change,3.8
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,,Annual 2024,Percent change,0.7
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,,Annual 2025,Percent change,0.3
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,,20-year historical average,Percent change,1.7
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,,Lower bound of forecast interval 2026,Percent change,2.9
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,,Midpoint of forecast interval 2026,Percent change,3.9
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,,Upper bound of forecast interval 2026,Percent change,5
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,,Lower bound of forecast interval 2027,Percent change,-4.9
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,,Midpoint of forecast interval 2027,Percent change,1.4
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,,Upper bound of forecast interval 2027,Percent change,8.2
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh fruits,Relative importance,Percent,3.9
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh fruits,Month-to-month July 2026 to August 2026,Percent change,-0.5
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh fruits,Year-over-year August 2025 to August 2026,Percent change,3.8
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh fruits,Year-to-date avg. 2026 to avg. 2025,Percent change,1.8
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh fruits,Annual 2024,Percent change,0.4
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh fruits,Annual 2025,Percent change,1
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh fruits,20-year historical average,Percent change,1.7
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh fruits,Lower bound of forecast interval 2026,Percent change,1.5
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh fruits,Midpoint of forecast interval 2026,Percent change,2.5
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh fruits,Upper bound of forecast interval 2026,Percent change,3.7
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh fruits,Lower bound of forecast interval 2027,Percent change,-4.5
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh fruits,Midpoint of forecast interval 2027,Percent change,2.3
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh fruits,Upper bound of forecast interval 2027,Percent change,9.6
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh vegetables,Relative importance,Percent,3.6
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh vegetables,Month-to-month July 2026 to August 2026,Percent change,-0.8
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh vegetables,Year-over-year August 2025 to August 2026,Percent change,2.6
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh vegetables,Year-to-date avg. 2026 to avg. 2025,Percent change,6
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh vegetables,Annual 2024,Percent change,1
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh vegetables,Annual 2025,Percent change,-0.4
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh vegetables,20-year historical average,Percent change,1.7
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh vegetables,Lower bound of forecast interval 2026,Percent change,4.3
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh vegetables,Midpoint of forecast interval 2026,Percent change,5.7
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh vegetables,Upper bound of forecast interval 2026,Percent change,7.2
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh vegetables,Lower bound of forecast interval 2027,Percent change,-9.3
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh vegetables,Midpoint of forecast interval 2027,Percent change,-0.5
All food,Food at home,Fruits and vegetables,Fresh fruits and vegetables,Fresh vegetables,Upper bound of forecast interval 2027,Percent change,9.2
All food,Food at home,Fruits and vegetables,Processed fruits and vegetables,,Relative importance,Percent,2
All food,Food at home,Fruits and vegetables,Processed fruits and vegetables,,Month-to-month July 2026 to August 2026,Percent change,-0.2
All food,Food at home,Fruits and vegetables,Processed fruits and vegetables,,Year-over-year August 2025 to August 2026,Percent change,3.2
All food,Food at home,Fruits and vegetables,Processed fruits and vegetables,,Year-to-date avg. 2026 to avg. 2025,Percent change,3.1
All food,Food at home,Fruits and vegetables,Processed fruits and vegetables,,Annual 2024,Percent change,0.9
All food,Food at home,Fruits and vegetables,Processed fruits and vegetables,,Annual 2025,Percent change,1.2
All food,Food at home,Fruits and vegetables,Processed fruits and vegetables,,20-year historical average,Percent change,2.8
All food,Food at home,Fruits and vegetables,Processed fruits and vegetables,,Lower bound of forecast interval 2026,Percent change,2.3
All food,Food at home,Fruits and vegetables,Processed fruits and vegetables,,Midpoint of forecast interval 2026,Percent change,3.1
All food,Food at home,Fruits and vegetables,Processed fruits and vegetables,,Upper bound of forecast interval 2026,Percent change,4
All food,Food at home,Fruits and vegetables,Processed fruits and vegetables,,Lower bound of forecast interval 2027,Percent change,-2.2
All food,Food at home,Fruits and vegetables,Processed fruits and vegetables,,Midpoint of forecast interval 2027,Percent change,2.8
All food,Food at home,Fruits and vegetables,Processed fruits and vegetables,,Upper bound of forecast interval 2027,Percent change,8
All food,Food at home,Sugar and sweets,,,Relative importance,Percent,2.4
All food,Food at home,Sugar and sweets,,,Month-to-month July 2026 to August 2026,Percent change,-0.3
All food,Food at home,Sugar and sweets,,,Year-over-year August 2025 to August 2026,Percent change,6.1
All food,Food at home,Sugar and sweets,,,Year-to-date avg. 2026 to avg. 2025,Percent change,6
All food,Food at home,Sugar and sweets,,,Annual 2024,Percent change,3
All food,Food at home,Sugar and sweets,,,Annual 2025,Percent change,5.1
All food,Food at home,Sugar and sweets,,,20-year historical average,Percent change,3.1
All food,Food at home,Sugar and sweets,,,Lower bound of forecast interval 2026,Percent change,5.8
All food,Food at home,Sugar and sweets,,,Midpoint of forecast interval 2026,Percent change,6.6
All food,Food at home,Sugar and sweets,,,Upper bound of forecast interval 2026,Percent change,7.4
All food,Food at home,Sugar and sweets,,,Lower bound of forecast interval 2027,Percent change,-2.1
All food,Food at home,Sugar and sweets,,,Midpoint of forecast interval 2027,Percent change,3.4
All food,Food at home,Sugar and sweets,,,Upper bound of forecast interval 2027,Percent change,9.3
All food,Food at home,Cereals and bakery products,,,Relative importance,Percent,7.6
All food,Food at home,Cereals and bakery products,,,Month-to-month July 2026 to August 2026,Percent change,-0.2
All food,Food at home,Cereals and bakery products,,,Year-over-year August 2025 to August 2026,Percent change,2.6
All food,Food at home,Cereals and bakery products,,,Year-to-date avg. 2026 to avg. 2025,Percent change,2.2
All food,Food at home,Cereals and bakery products,,,Annual 2024,Percent change,0.5
All food,Food at home,Cereals and bakery products,,,Annual 2025,Percent change,1
All food,Food at home,Cereals and bakery products,,,20-year historical average,Percent change,2.8
All food,Food at home,Cereals and bakery products,,,Lower bound of forecast interval 2026,Percent change,1.9
All food,Food at home,Cereals and bakery products,,,Midpoint of forecast interval 2026,Percent change,2.5
All food,Food at home,Cereals and bakery products,,,Upper bound of forecast interval 2026,Percent change,3.1
All food,Food at home,Cereals and bakery products,,,Lower bound of forecast interval 2027,Percent change,-4.8
All food,Food at home,Cereals and bakery products,,,Midpoint of forecast interval 2027,Percent change,2.4
All food,Food at home,Cereals and bakery products,,,Upper bound of forecast interval 2027,Percent change,10.3
All food,Food at home,Nonalcoholic beverages,,,Relative importance,Percent,7.3
All food,Food at home,Nonalcoholic beverages,,,Month-to-month July 2026 to August 2026,Percent change,0.2
All food,Food at home,Nonalcoholic beverages,,,Year-over-year August 2025 to August 2026,Percent change,3.7
All food,Food at home,Nonalcoholic beverages,,,Year-to-date avg. 2026 to avg. 2025,Percent change,3.9
All food,Food at home,Nonalcoholic beverages,,,Annual 2024,Percent change,2
All food,Food at home,Nonalcoholic beverages,,,Annual 2025,Percent change,3.8
All food,Food at home,Nonalcoholic beverages,,,20-year historical average,Percent change,2.4
All food,Food at home,Nonalcoholic beverages,,,Lower bound of forecast interval 2026,Percent change,3.5
All food,Food at home,Nonalcoholic beverages,,,Midpoint of forecast interval 2026,Percent change,4.2
All food,Food at home,Nonalcoholic beverages,,,Upper bound of forecast interval 2026,Percent change,5
All food,Food at home,Nonalcoholic beverages,,,Lower bound of forecast interval 2027,Percent change,-2.9
All food,Food at home,Nonalcoholic beverages,,,Midpoint of forecast interval 2027,Percent change,2.6
All food,Food at home,Nonalcoholic beverages,,,Upper bound of forecast interval 2027,Percent change,8.5
All food,Food at home,Other foods,,,Relative importance,Percent,12.5
All food,Food at home,Other foods,,,Month-to-month July 2026 to August 2026,Percent change,-0.3
All food,Food at home,Other foods,,,Year-over-year August 2025 to August 2026,Percent change,2.1
All food,Food at home,Other foods,,,Year-to-date avg. 2026 to avg. 2025,Percent change,2
All food,Food at home,Other foods,,,Annual 2024,Percent change,0.6
All food,Food at home,Other foods,,,Annual 2025,Percent change,0.9
All food,Food at home,Other foods,,,20-year historical average,Percent change,2.4
All food,Food at home,Other foods,,,Lower bound of forecast interval 2026,Percent change,1.5
All food,Food at home,Other foods,,,Midpoint of forecast interval 2026,Percent change,2.1
All food,Food at home,Other foods,,,Upper bound of forecast interval 2026,Percent change,2.8
All food,Food at home,Other foods,,,Lower bound of forecast interval 2027,Percent change,-5.9
All food,Food at home,Other foods,,,Midpoint of forecast interval 2027,Percent change,1.5
All food,Food at home,Other foods,,,Upper bound of forecast interval 2027,Percent change,9.6
